Instance type,Instance family,Instance size,Availability zones,Free tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand Ubuntu Pro pricing,ENA Express support,ENA queues support
r6gd.2xlarge,r6gd,2xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,64,474,TRUE,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,2375,12000,296.875,4750,20000,593.75,-,0.4608 USD per Hour,0.5858 USD per Hour,0.576 USD per Hour,0.4748 USD per Hour,FALSE,FALSE
m7i.metal-24xl,m7i,metal-24xl,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,TRUE,,96,x86_64,48,-,2,-,3.2,384,0,-,-,0,supported,default,37.5 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,-,-,-,TRUE,30000,120000,3750,30000,120000,3750,9.2544 USD per Hour,4.8384 USD per Hour,4.9634 USD per Hour,5.8752 USD per Hour,5.0064 USD per Hour,TRUE,FALSE
c8gd.48xlarge,c8gd,48xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,192,arm64,192,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192",1,1,2.7,384,11400,TRUE,ssd,6,supported,default,50 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,-,-,TRUE,40000,240000,5000,40000,240000,5000,-,9.40608 USD per Hour,9.53108 USD per Hour,11.24928 USD per Hour,9.74208 USD per Hour,TRUE,FALSE
m5n.16xlarge,m5n,16xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.1,256,0,-,-,0,supported,default,75 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,13600,60000,1700,13600,60000,1700,6.752 USD per Hour,3.808 USD per Hour,3.933 USD per Hour,4.499 USD per Hour,3.92 USD per Hour,FALSE,FALSE
r6gd.medium,r6gd,medium,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,1,arm64,1,-,1,-,2.5,8,59,TRUE,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,315,2500,39.375,4750,20000,593.75,-,0.0576 USD per Hour,0.0886 USD per Hour,0.072 USD per Hour,0.0594 USD per Hour,FALSE,FALSE
c6a.24xlarge,c6a,24xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,96,x86_64,48,"4,6,8,10,12,14,16,32,48",2,"1,2",3.6,192,0,-,-,0,supported,default,37.5 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,30000,120000,3750,30000,120000,3750,8.088 USD per Hour,3.672 USD per Hour,3.797 USD per Hour,4.7088 USD per Hour,3.84 USD per Hour,TRUE,FALSE
m8gb.2xlarge,m8gb,2xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.8,32,0,-,-,0,supported,default,Up to 33.33 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,TRUE,-,TRUE,12500,60000,1562.5,25000,120000,3125,-,0.582 USD per Hour,0.707 USD per Hour,0.6972 USD per Hour,0.596 USD per Hour,FALSE,TRUE
x2iedn.2xlarge,x2iedn,2xlarge,"us-west-2a, us-west-2b, us-west-2c",FALSE,FALSE,FALSE,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,256,237,TRUE,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,TRUE,unsupported,ebs,TRUE,-,-,TRUE,5000,16250,625,20000,65000,2500,2.03525 USD per Hour,1.66725 USD per Hour,1.79225 USD per Hour,1.78245 USD per Hour,1.68125 USD per Hour,FALSE,FALSE
i3en.3xlarge,i3en,3xlarge,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,FALSE,nitro,12,x86_64,6,"2,4,6",2,"1,2",3.1,96,7500,TRUE,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,TRUE,"cluster, partition, spread",0,0,-,unsupported,ebs,TRUE,TRUE,-,TRUE,3800,15000,475,4750,20000,593.75,1.908 USD per Hour,1.356 USD per Hour,1.481 USD per Hour,1.486 USD per Hour,1.377 USD per Hour,FALSE,FALSE
r6a.metal,r6a,metal,"us-west-2a, us-west-2b, us-west-2c, us-west-2d",FALSE,FALSE,TRUE,,192,x86_64,96,-,2,-,3.6,1536,0,-,-,0,supported,default,50 Gigabit,required,15,50,50,TRUE,"cluster, partition, spread",0,0,TRUE,supported,ebs,TRUE,-,-,TRUE,40000,240000,5000,40000,240000,5000,19.7184 USD per Hour,10.8864 USD per Hour,11.0114 USD per Hour,12.7296 USD per Hour,11.2224 USD per Hour,TRUE,FALSE
